년도, 귤도매가격,귤소매가격,오렌지도매가격,오렌지소매가격,생산자물가지수(감귤),소비자물가지수(감귤),1인당 가처분소득,1인당 연간소비량(kg),오렌지가격_1kg,오렌지가공매출_백만원,오렌지가공량_ton,감귤가격_1kg,감귤가공매출_백만원,인구수,감귤가공량_ton,도외출하량
1998,10884.66667,11929.33333,21830,45000,95.98,80.644,57194.3727,,2310,,13836,1326,,46286503,5012,482327
1999,6206,11933.33333,30530,93240,113.29,102.156,58382.742,,3202,,15070,1512,,46616677,33142,531040
2000,7417.333333,11800,14240,52580,58.74,55.41,61964.6448,11.9,1538,188000,11375,936,,47008111,27468,398675
2001,6356,11066.66667,17780,51290,90.97,79.033,68150.2896,,1898,,10869,1194,,47370164,47445,491801
2002,5312,8866.666667,22410,63440,84.83,84.325,75338.7816,13.3,2390,,8229,1099,,47644736,112359,491240
2003,9075,26300,17700,56280,57.45,63.62,82105.3168,13,1904,,19712,900,,47892330,120333,437660
2004,12609,27000,18720,58280,96.77,85.198,90825.8304,12,2006,,24065,1337,,48082519,100517,374285
2005,12133,16500,16700,63520,143.35,106.735,95684.7528,13.1,1814,,25366,1795,,48184561,125343,446935
2006,13026,31800,18650,63380,100.05,84.334,99341.6424,12.7,1998,,26547,1426,,48438292,109496,405120
2007,7101,13100,23090,70610,157.5,109.137,107368.2552,16,2445,,24101,1582,,48683638,138782,459738
2008,12719,22100,19320,60350,59.02,67.663,116943.7992,13,2066,,25655,1240,,49054708,88664,374405
2009,11353,19300,27400,80370,73.2,93.346,124746.3936,15.2,2841,,31082,1271,,49307835,123551,459586
2010,13191,31200,26020,79850,83.75,90.059,135189.722,12.4,2745,,32839,1404,,49554112,81117,335694
2011,13883,24400,26787.22222,20622.5,78.69,106.469,143419.8052,13.6,2538,242800,34068,1483,98620,49936638,102899,219646
2012,12481,25800,26565,19365,234.13,136.033,150357.9495,13.7,2551,186598,38534,2681,112594,50199853,55814,378715
2013,14480,28700,22678.33333,19050,83.44,108,158296.4244,13.4,2456,206513,40748,1692,83680,50428893,92834,374860
2014,10885,24900,26853.33333,20640,98.63,112.867,165256.0476,14.2,2526,186124,47465,1824,69225,50746659,158371,332992
2015,10952,26300,27743.33333,21072.5,100,100,181470,12.5,2684,175906,43335,1692,64853,51014947,84679,283492
2016,15087,30700,26457.77778,21525,126.65,107.89,188929.065,11.9,2616,174056,39531,1926,60190,51217803,56372,281618
2017,18019,33300,27287.77778,22947.5,217.11,192.25,199467.2649,11.6,2638,155606,39163,2378,58439,51361911,72460,264142
2018,16432,32200,27240,24760,95.83,160.81,209110.9216,11.8,2745,138899,31703,1977,58363,51606633,63402,281294
2019,18540,25660,29140,18065,,146.82,,,2677,129605,,1438,61612,51709098,60425,280000
