하르방 	 할아버지
할망 	 할머니
아방 	아버지
어멍 	 어머니
비바리 	 처녀
괸당 	 친척
걸바시 	 거지
넹바리 	 시집간색시
다슴아돌 	 의붓아들
말젯놈 	 세번째자식
소나이 	 사나이
성님 	 형님
작산 거 	 어른이된 사람
좀녀 	 해녀
촐람생이 	 경솔한사람
홀아방 	 홀아비 
가달 	 다리
꼴랑지 	 꼬리
구뚱배기 	 귀쪽뺨
꽝 	 뼈
굴레 	 입
대망생이 	 머리
등땡이 	 등어리
또꼬망 	 똥구멍
모감지 	 멱살
베 봉탱이 	 배 불뚝이
베아지 볼라불라	 배 밟아버린다
상판이 	 얼굴
야게기 	 목
야굴탁 	 턱
임댕이 	 이마
정겡이 	 종아리
저껭이 	 겨드랑이
조금태기 	간지롭게
좀짐팽이 	 종아리
허운데기 	머리카락
허벅다리 	 넓적다리
놋 	 얼굴
간수메 	 통조림
개역 	 미숫가루
것 	 동물먹이
괴기 	 고기
바당괴기 	 바닷고기
돗괴기 	 돼지고기
쇠괴기 	 쇠고기
도괴기 	 돼지고기
곤떡 	 쌀로만든하얀떡
곤밥 	 흰쌀밥
놈삐 	 무우
대사니김치 	 마늘장아찌
마농 	 마늘
마농 	 파 
조배기 	 메밀수제비
촐래 	 반찬
촘지금 	 참기름
짐치 	 김치
촙쏠 	 찹쌀
조팝 	 조밥
갈옷 	 감물들인옷
갈 적삼 	 감물들인 적삼
갈 중이 	 감물들인 고의
강알터진 바지 	 개구멍 바지
게와 	 호주머니
단취 	 단추
밀랑 페랭이 	 밀짚 모자
보선 	 버선
소중이 	 속옷
신착 	 신짝
찍신 	 짚신
좀뱅이 	 잠방이
등지게 	 감물들인베옷
고장중이 	 고쟁이
도폭 	 우두머니
두루막 	 두루마기
베불레기 	 아기옷
우장 	 비온날
저구리 	 저고리 
지성귀 	 기저귀
지서귀 	 기저귀
쪼께 	 조끼
치메 	 치마
건대 	 건대
사모관대 	 사모관대
시미옷 	 손자용상복
제복 	 상제옷
망근 	 망건
방립 	 상갓닮은거
벙것 	 벙거지
상갓 	 삿갓
탕근 	 탕건
풍뎅이 	 남자모자
휘양 	 여자모자
낭저 	 빈네꽂은머리
달리 	 땋은놈의머리
빈네 	 비녀
상퉁이 	 상투
얼레기 	 머리빗
얼레빗 	 머리빗
쪽도리 	 족두리
쳉빗 	 참빗
과지 	 무당입는옷
남신 	 나막신
